ID,all_k,rural_k,urban_k,beta
P221,0.333624923769135,0.2508797689221,0.381035703441938,4.56659982493066
P222,0.445847489503796,1.0292153841247,0.451451583828856,6.13673588919655
P223,0.145405565843083,0.484398565775034,0.156931274681791,5.4480423608889
P224,1.2120220671629,1.1907106948515,1.37700322770858,5.08022551442584
P225,0.159584574766972,0.594198047027501,0.214559740519638,3.43162294688462
P226,0.127533199747087,0.827034725683889,0.676682963772916,2.97403017259418
P227,0.15204781987904,0.149641621376638,0.153915415774476,5.85255021734801
P228,0.891256306498617,0.403666949010915,0.51815502338288,2.3592092605322
P229,0.148103529396167,0.149928010715453,0.15418922481364,5.91056186998889
P22,0.149167779070191,1.4486185433535,0.159489726381926,6.1051798686515
P230,0.164426282505137,0.359467050890286,0.706867920568726,2.8355684197942
P231,0.889361842237997,1.20325778747685,0.853283504363243,4.16986322103205
P232,0.147740374470165,0.149580148780784,0.194533351134512,5.85011787556062
P234,0.407160022631433,0.37853871476241,0.242272750944462,4.04552137363616
P235,1.01025316377848,0.171153160053578,1.35392350789876,3.98515090323506
P236,0.148110967148354,0.149939134471316,0.154174008301061,5.91069853994281
P237,1.20893394176082,1.43506158699612,1.25000165848944,4.81204464846315
P238,0.14813414811694,0.149932700497656,0.15422414903685,5.9088373564169
P239,0.592967347415156,0.270468389033088,0.564082176473956,6.16147546649579
P23,1.36222167102437,0.150214926310283,0.705469299001109,5.95731503627122
P240,0.183929487646438,0.411680669466944,0.511711311284653,1.37405818866805
P241,0.530030025746911,1.26831303586407,0.138834422161183,3.51560896326439
P242,0.148089387502697,0.149940360690369,0.154185787095989,5.91064342432673
P243,0.147405107919383,0.190706787847428,0.194033333536765,5.79040340116816
P244,0.472674008894623,0.435153102220031,0.278478564830625,5.48787385422761
P245,0.723569177758638,0.496938367852411,0.446141765198675,3.94396641006444
P246,0.705926037104633,0.569686387710465,0.341665814267371,4.55392529917072
P247,0.465958212955769,0.366940973923165,0.354305911803947,1.91424661871634
P248,0.147747167321124,0.1495816096169,0.158506073180582,5.84997989427491
P24,0.501825524434558,0.401115580284827,0.624591880461894,1.23936145073972
P250,0.580597852417048,0.404711196775346,0.420369119732837,5.11930264462029
P251,0.148100085459802,0.149930253041649,0.154191881538865,5.91072725317488
P252,0.121273528806548,0.253245131314593,0.905524760118935,2.32382470101476
P253,1.36701755646337,1.44335876083789,1.39561905937866,6.39314349558387
P254,0.149201207150539,0.270021815037255,0.269650187562285,6.11181307653556
P256,0.452524509696884,0.725426713465349,0.521117536892071,3.52907049258568
P257,0.149441187624762,0.424297885686668,0.420544836767782,5.96017177408528
P258,0.387031721874975,0.800126137088266,0.436849152512325,3.43412106803743
P259,0.532905617263989,1.44318957158396,1.38333933680029,5.47859678752447
P25,1.33498041987044,1.16198501199372,1.29124137427396,4.50499225810166
P260,0.143084232610627,1.2547004212758,0.246905517783875,5.06829018003199
P261,0.148104064790276,0.149931229061802,0.154183248488838,5.91073801453201
P262,1.31120179414089,1.41560792808071,1.35568170889161,6.06485684028366
P264,0.140038235318118,0.284076950639858,0.497015050672502,2.63286139396982
P265,1.36940772560573,1.45121587058836,1.39483380460566,6.45091337336494
P266,0.148134057886145,0.1499290566565,0.154152116301342,5.91063336793145
P267,0.827376301881506,0.626709953228882,1.38222486188189,5.4065144611381
P268,0.134559894250103,1.41751949214655,0.415266284230213,3.8261353505168
P269,0.89976486674899,1.42921152290614,0.236319263333613,4.4243521106973
P26,0.54476178441067,0.327658592475609,0.141100855090337,3.81250954682919
