ID,true_all_k,true_rural_k,true_urban_k,true_beta,recovered_all_k,recovered_rural_k,recovered_urban_k,recovered_beta
sim_061,0.0114371525126496,0.951022149574398,0.85273702627299,0.00531708248982927,0.724434779748207,0.521497326045973,0.485122063195361,1.31160168697832
sim_062,0.308795600845066,0.87041405779211,0.870160117332677,0.000400589587690097,0.442777555642395,0.63501322085443,0.595351773586675,0.771793890750023
sim_063,0.560624113509012,0.896993074757796,0.808698921552248,0.0341947952497519,0.425979396339167,0.699733998028558,0.505722549583443,2.19247558630388
sim_064,0.828401818191881,0.832458855513013,0.933823536490075,0.00739100561954211,0.687358654205937,0.644349865316121,0.467722458864679,1.60519136385642
sim_065,0.0153024348688116,0.0257933221629094,0.00272564081435639,0.961404082442772,0.238789071194705,0.351509860021551,0.353455232408146,2.08622681299433
sim_066,0.271804877039413,0.166036778100071,0.0326656064101221,1.01608927774803,0.432341564937699,0.514196406368363,0.353832197704085,4.56987604140733
sim_067,0.648937480139056,0.00470903509069039,0.050368133186802,0.959445683093425,0.537815166510437,0.247850106515259,0.466979529733727,2.92598842970752
sim_068,0.905628886855049,0.0350083422255573,0.0703770116425571,1.07885462004728,0.825334793976979,0.188650188183603,0.424845601789771,4.70580795183895
sim_069,0.0988138856654278,0.254575540356437,0.065019315535715,1.08557947266719,0.45076584490414,0.53923772119815,0.309192932433865,2.64197656758041
sim_070,0.366458797003392,0.338321316692424,0.0183274861583957,1.04116803527071,0.340337573184663,0.576808112031085,0.186258301940704,3.70378342622918
sim_071,0.580688132762217,0.278788094116263,0.0125940618353563,1.06193165884109,0.778460738165739,0.417817731592288,0.179922908709843,2.07925999938669
sim_072,0.851349192824372,0.267234334753155,0.0293772816276251,0.96641120705236,0.784561275491893,0.284205549305949,0.327099998447462,5.88120945165314
sim_073,0.0335846804452084,0.532364866533777,0.0062997424126228,0.967250876890144,0.193606398561033,0.431237783783532,0.274955239904599,4.67707000803451
sim_074,0.316196495781231,0.59912626290805,0.0396120403318473,0.938366179457792,0.432676798924476,0.553157131803337,0.647563962123617,3.11390234286105
sim_075,0.605286283138742,0.561360762222805,0.0638008405158823,1.00024750270967,0.772594474676937,0.814749848164149,0.413037447864224,2.61053682173053
sim_076,0.946219655996566,0.623136094556568,0.105257941746883,1.01245339189139,0.322640762204982,0.643274704676369,0.430505014879034,3.08680740903744
sim_077,0.000639924083537788,0.899997849606362,0.0112133008803243,1.01490465877992,0.192572585848632,0.577172926412078,0.260995694815148,4.13716645382226
sim_078,0.327186518936837,0.8516167016513,0.124628185827583,0.92580043207846,0.358800787506196,0.699502404519304,0.681796582292662,3.12465103176705
sim_079,0.557394198353154,0.881951226218143,0.0288633671557738,1.05026022672865,0.650647378515606,0.811284973712021,0.18524714668452,3.39890894976079
sim_080,0.809837775077898,0.898430525991841,0.0400774019177056,1.01737165217802,0.787464798791477,0.757901069708499,0.436003409361137,2.33074254947121
sim_081,0.015946250659892,0.013920989742735,0.361613944606374,0.921579787310829,0.461560326580561,0.353411327355538,0.802388764534686,2.99629979604545
sim_082,0.340994082288841,0.0354867626236586,0.315899809118112,0.994213805460138,0.679267832809003,0.188654165246104,0.750784714565422,4.70765343885558
sim_083,0.611779227838209,0.0417579616430626,0.360261181169246,0.984904145945172,0.684199160778822,0.234326598036905,0.445843674524597,2.57281919835707
sim_084,0.958329747613696,0.0496204304914012,0.244797201220704,0.926936110689707,0.585813028690737,0.2352933982514,0.55842204121817,2.62206090865182
sim_085,0.0208022961093416,0.327379122143552,0.359551631009644,0.954928374948886,0.34690023711407,0.644981050050923,0.786051308899237,4.03883376404545
sim_086,0.275775399687968,0.297551152734221,0.357670526817427,1.10864914944761,0.193426703972269,0.421637858644376,0.57581892494858,4.57705208318958
sim_087,0.608254774051897,0.214983337027518,0.162932400355921,1.0100733547202,1.10617406475823,0.379967366807951,0.187370071855085,4.08580951837654
sim_088,0.913205135523405,0.273160630979031,0.31486832949538,0.935411928489627,0.628245417620315,0.402912569852739,0.495293645573193,3.41151983277498
sim_089,0.00260798426859014,0.631913853948769,0.315434076467017,0.991374728200189,0.343124434341762,0.447107246088153,0.524123253043658,0.863998201341558
sim_090,0.351883657469086,0.659570271842962,0.358913102300245,1.04319678537572,0.450075715371596,0.437877372961765,0.44310418960032,2.49161118455477
sim_091,0.552908568773212,0.623319141643709,0.328610205107241,0.928744906495749,0.44509642729808,1.10678423299344,0.509865151918072,5.41266846474553
sim_092,0.869954757553354,0.58443308453181,0.309563721569912,1.13365522969003,0.379129817125739,0.410542570123779,0.182073905199544,2.60293450542353
sim_093,0.00232466927821896,0.891989135025411,0.37938327001008,0.947843045449685,0.195089835720258,0.982398447561157,0.561419028815309,5.61108824303493
sim_094,0.34754889465277,0.967166564061935,0.365328338053267,0.946241940444427,0.588823990733805,0.745568756523254,0.681711689724687,2.14664146474587
