ID,true_rural_k,true_urban_k,true_beta,recovered_rural_k,recovered_urban_k,recovered_beta
sim_142,0.210229711303467,0.865457517345367,7.99768156211204,0.192211062893347,0.950317740857426,7.15603665985216
sim_143,0.607608294623871,1.01149049037459,8.1067999526125,0.489785489757716,0.942567968887491,5.87077108742662
sim_144,0.971384309252058,0.896020677607115,7.87772294692516,0.952914215557015,0.93260309531967,7.38811241514204
sim_145,0.011568482844322,0.0652931160814687,8.96769062094072,0.19167720752075,0.189152330471109,6.85136914587025
sim_146,0.265646121367314,0.0270748697765364,8.95881854703068,0.191699292773262,0.189141032844995,6.85156923026428
sim_147,0.624511236625097,0.0460508599625151,9.13907594089087,0.460764875604624,0.189534562691009,7.04423300212574
sim_148,0.877073160299553,0.095437092425721,9.13574548015299,0.951910321737154,0.189748614762952,7.15442653474249
sim_149,0.0380486608723432,0.325623064923883,8.92820819033951,0.191877934142862,0.288200495996553,6.96515299810911
sim_150,0.219859771063664,0.287835381466399,9.06837378293641,0.191878164070183,0.288200335321419,6.9651495008017
sim_151,0.620132197836321,0.323329292917117,9.02067444009629,0.673111566336127,0.287941066859603,6.9143263814329
sim_152,0.812894431125118,0.256269125793125,9.00435203080093,0.80090340595859,0.288377117191227,7.00955101041886
sim_153,0.0331493054984014,0.511808094613038,9.03559443002881,0.192494714479202,0.566376978335324,7.3204646884514
sim_154,0.294800495447134,0.582785368277337,9.09297186963214,0.291762122799959,0.566911879695992,7.40556917203071
sim_155,0.48733562734889,0.643753805320001,8.98226716127439,0.480253082539007,0.486392688085525,5.97371391396412
sim_156,0.903143918890805,0.601418063762834,9.02550901028568,0.860847233370547,0.5604446568024,6.51579501337572
sim_157,0.0260019651440505,0.846521803806902,9.01966262547718,0.192625799030965,0.801282002819443,7.39683942278112
sim_158,0.400957752025603,0.939740209740565,8.99156566893334,0.291220191170315,0.932006003237611,7.25380636057555
sim_159,0.64191105977087,0.959344134184247,8.94081357090371,0.696255412546296,0.801777477750617,7.50763291780525
sim_160,0.919261759459053,0.861448655549252,8.99695016593344,0.934985304096505,0.802127888755308,7.58886080893612
sim_161,0.0305459918613813,0.112398225296384,9.96284955830227,0.191676153395657,0.189149044221646,6.85138295509006
sim_162,0.350733860219638,0.0353546976504462,9.97635237541002,0.28695371584939,0.188078667131257,6.32374111388413
sim_163,0.544449191370915,0.0271174329874668,9.99551305103921,0.460765319940707,0.189534327490412,7.0442335346601
sim_164,0.928608944815168,0.0185334507586227,9.97304950759931,0.693804974481823,0.189539809119779,7.04742752503761
sim_165,0.00225378999821485,0.240637154325407,9.97233722759095,0.191677342392049,0.18915228532302,6.85133634618512
sim_166,0.290561584417219,0.32876945688503,9.95809684693412,0.287725596578377,0.285568234579482,6.45545138294884
sim_167,0.653893102342728,0.28566217217899,9.93071178941011,0.694344903486884,0.288960477889334,7.14361882550505
sim_168,0.894684385570656,0.290897688251679,9.94414403357846,0.813470390766878,0.188264556965096,6.41320079295217
sim_169,0.0699951008358816,0.565019381207619,9.99352278661249,0.192494842318221,0.566377068992885,7.32047017995092
sim_170,0.249786119613845,0.662445241831326,9.96459001276963,0.290806519015262,0.459927851910891,7.14418707930886
sim_171,0.593527074681406,0.583305858150718,9.91170486422086,0.376123893547442,0.702206071992499,6.70196607228504
sim_172,0.975083549822651,0.564088437715383,9.93422767349583,1.09676367247398,0.568215627483545,7.62405345978178
sim_173,0.0786288255851756,0.969097812781363,9.93086139080797,0.192211140210206,0.950317410332527,7.15604774398527
sim_174,0.366524354708495,0.974519740110897,9.95415359640132,0.411756833948151,1.08873209964482,6.79177556450465
sim_175,0.52770308501692,0.880728876010947,9.96617654216744,0.490759871546218,0.932362519987261,7.33331087301436
sim_176,0.895572467861199,0.903101838351423,9.92474542337419,0.934616639101056,1.09425361708233,7.49567759973457
