simulated_model,round,estimated_model,sumLME,bicint,relBIC,xp,winner_by_BIC,winner_by_XP
ms_two_k_one_beta_hyperbolic,5,ms_two_k_one_beta_hyperbolic,-960.050121553614,1911.03495777062,0,0.998209,1,1
ms_two_k_one_beta_hyperbolic,5,ms_two_k_two_beta,-1014.48708371596,2023.10184625143,112.066888480813,0,0,0
ms_two_k_one_beta_hyperbolic,5,ms_two_k_two_beta_linear,-977.667899938793,1950.02767015133,38.9927123807086,0,0,0
ms_two_k_one_beta_hyperbolic,5,ms_two_k_two_beta_hyperbolic,-965.832532293035,1926.13666792993,15.1017101593131,0.00179,0,0
ms_two_k_one_beta_hyperbolic,6,ms_two_k_one_beta,-1053.78943899713,2089.71919325919,117.301583515932,0,0,0
ms_two_k_one_beta_hyperbolic,6,ms_two_k_one_beta_linear,-1011.45371437759,2004.1119331923,31.6943234490427,0,0,0
ms_two_k_one_beta_hyperbolic,6,ms_two_k_one_beta_hyperbolic,-993.570440982121,1972.41760974325,0,1,1,1
ms_two_k_one_beta_hyperbolic,6,ms_two_k_two_beta,-1060.28227690391,2103.29106585268,130.873456109422,0,0,0
ms_two_k_one_beta_hyperbolic,6,ms_two_k_two_beta_linear,-1024.07601434256,2038.68560724647,66.2679975032124,0,0,0
ms_two_k_one_beta_hyperbolic,6,ms_two_k_two_beta_hyperbolic,-1005.9411166139,2004.78051733976,32.3629075965075,0,0,0
ms_two_k_one_beta_hyperbolic,7,ms_two_k_one_beta,-974.488618167288,1917.80095795823,58.8133720572819,0,0,0
ms_two_k_one_beta_hyperbolic,7,ms_two_k_one_beta_linear,-948.661841386414,1877.81103896146,18.8234530605157,0,0,0
ms_two_k_one_beta_hyperbolic,7,ms_two_k_one_beta_hyperbolic,-936.573950279408,1858.98758590094,0,1,1,1
ms_two_k_one_beta_hyperbolic,7,ms_two_k_two_beta,-988.903152066233,1965.4864289083,106.498843007354,0,0,0
ms_two_k_one_beta_hyperbolic,7,ms_two_k_two_beta_linear,-970.18770126388,1935.36773128898,76.3801453880358,0,0,0
ms_two_k_one_beta_hyperbolic,7,ms_two_k_two_beta_hyperbolic,-960.267823464032,1912.20101246195,53.2134265610068,0,0,0
ms_two_k_one_beta_hyperbolic,8,ms_two_k_one_beta,-1038.35905083226,2054.46054444559,62.697928795593,0,0,0
ms_two_k_one_beta_hyperbolic,8,ms_two_k_one_beta_linear,-1015.62622229985,2016.91232744758,25.1497117975796,0,0,0
ms_two_k_one_beta_hyperbolic,8,ms_two_k_one_beta_hyperbolic,-1002.51549541079,1991.76261565,0,1,1,1
ms_two_k_one_beta_hyperbolic,8,ms_two_k_two_beta,-1042.31748394865,2074.73934408284,82.976728432847,0,0,0
ms_two_k_one_beta_hyperbolic,8,ms_two_k_two_beta_linear,-1026.00336747014,2048.0549471467,56.2923314967068,0,0,0
ms_two_k_one_beta_hyperbolic,8,ms_two_k_two_beta_hyperbolic,-1014.22100006174,2023.09048822514,31.3278725751395,0,0,0
ms_two_k_one_beta_hyperbolic,9,ms_two_k_one_beta,-1029.83168117335,2037.76042514673,95.0606709373901,0,0,0
ms_two_k_one_beta_hyperbolic,9,ms_two_k_one_beta_linear,-989.407071479644,1965.55331054562,22.8535563362805,0,0,0
ms_two_k_one_beta_hyperbolic,9,ms_two_k_one_beta_hyperbolic,-978.54163699667,1942.69975420934,0,1,1,1
ms_two_k_one_beta_hyperbolic,9,ms_two_k_two_beta,-1046.97096846433,2085.90844956879,143.208695359457,0,0,0
ms_two_k_one_beta_hyperbolic,9,ms_two_k_two_beta_linear,-1010.13757398912,2012.36461307981,69.6648588704768,0,0,0
ms_two_k_one_beta_hyperbolic,9,ms_two_k_two_beta_hyperbolic,-999.373566311497,1992.45670399984,49.7569497905035,0,0,0
ms_two_k_one_beta_hyperbolic,10,ms_two_k_one_beta,-998.497734765499,1977.75251634059,96.457817485973,0,0,0
ms_two_k_one_beta_hyperbolic,10,ms_two_k_one_beta_linear,-964.344550868356,1914.53866997308,33.2439711184602,0,0,0
ms_two_k_one_beta_hyperbolic,10,ms_two_k_one_beta_hyperbolic,-946.3694674031,1881.29469885462,0,1,1,1
ms_two_k_one_beta_hyperbolic,10,ms_two_k_two_beta,-1009.00670359218,2007.44916309971,126.15446424509,0,0,0
ms_two_k_one_beta_hyperbolic,10,ms_two_k_two_beta_linear,-976.137456662282,1938.31097045489,57.0162716002731,0,0,0
ms_two_k_one_beta_hyperbolic,10,ms_two_k_two_beta_hyperbolic,-959.291384365034,1907.84782570879,26.5531268541681,0,0,0
ms_two_k_two_beta,1,ms_two_k_one_beta,-523.22895367181,1030.91077190506,8.37340873960602,0,0,0
ms_two_k_two_beta,1,ms_two_k_one_beta_linear,-551.467186247037,1094.04713324728,71.5097700818244,0,0,0
ms_two_k_two_beta,1,ms_two_k_one_beta_hyperbolic,-552.380643625097,1112.11294989954,89.5755867340822,0,0,0
ms_two_k_two_beta,1,ms_two_k_two_beta,-512.962799033206,1022.53736316545,0,1,1,1
ms_two_k_two_beta,1,ms_two_k_two_beta_linear,-544.449093899785,1090.3805699637,67.8432067982471,0,0,0
ms_two_k_two_beta,1,ms_two_k_two_beta_hyperbolic,-544.701355779919,1100.79545573035,78.2580925649004,0,0,0
ms_two_k_two_beta,2,ms_two_k_one_beta,-445.094405362235,884.591710964214,0,0,1,0
ms_two_k_two_beta,2,ms_two_k_one_beta_linear,-464.644546844675,926.970820909791,42.3791099455768,0,0,0
ms_two_k_two_beta,2,ms_two_k_one_beta_hyperbolic,-463.59537043744,942.306478739691,57.7147677754767,0,0,0
ms_two_k_two_beta,2,ms_two_k_two_beta,-437.576103419037,892.989851902432,8.39814093821735,1,0,1
ms_two_k_two_beta,2,ms_two_k_two_beta_linear,-461.246197666274,923.618840664946,39.0271297007318,0,0,0
ms_two_k_two_beta,2,ms_two_k_two_beta_hyperbolic,-462.556099606488,945.320419284986,60.7287083207721,0,0,0
ms_two_k_two_beta,3,ms_two_k_one_beta,-421.712672037052,843.712240755559,7.67877618973648,0.006152,0,0
ms_two_k_two_beta,3,ms_two_k_one_beta_linear,-441.699445729153,880.479146976837,44.4456824110147,0,0,0
ms_two_k_two_beta,3,ms_two_k_one_beta_hyperbolic,-429.627257881648,883.460628667345,47.4271641015231,7e-06,0,0
ms_two_k_two_beta,3,ms_two_k_two_beta,-416.078303561736,836.033464565822,0,0.993722,1,1
ms_two_k_two_beta,3,ms_two_k_two_beta_linear,-436.656689475379,874.971095040771,38.9376304749489,0,0,0
ms_two_k_two_beta,3,ms_two_k_two_beta_hyperbolic,-429.806387416154,894.869622524297,58.8361579584748,0.000119,0,0
ms_two_k_two_beta,4,ms_two_k_one_beta,-479.923174932333,954.346987891524,15.8637720797286,0,0,0
ms_two_k_two_beta,4,ms_two_k_one_beta_linear,-491.338552831994,978.886688875366,40.4034730635703,0,0,0
ms_two_k_two_beta,4,ms_two_k_one_beta_hyperbolic,-499.809667775318,1008.70747401888,70.2242582070839,0,0,0
ms_two_k_two_beta,4,ms_two_k_two_beta,-465.925983514421,938.483215811795,0,0.999952,1,1
ms_two_k_two_beta,4,ms_two_k_two_beta_linear,-480.904803209009,964.499492800379,26.016276988584,4.8e-05,0,0
ms_two_k_two_beta,4,ms_two_k_two_beta_hyperbolic,-486.463951250671,997.099246466508,58.6160306547131,0,0,0
ms_two_k_two_beta,5,ms_two_k_one_beta,-433.222949638395,863.579016629719,4.1279752433976,0.015153,0,0
ms_two_k_two_beta,5,ms_two_k_one_beta_linear,-437.40629682358,875.412254124039,15.9612127377181,3.1e-05,0,0
ms_two_k_two_beta,5,ms_two_k_one_beta_hyperbolic,-440.1318014823,896.355087078317,36.9040456919962,0,0,0
ms_two_k_two_beta,5,ms_two_k_two_beta,-427.462320775252,859.451041386321,0,0.784694,1,1
